9.241067	99.86262
9.241176	99.86276
9.241275	99.86292
9.241371	99.86307
9.241454	99.86323
9.241517	99.86323
9.241555	99.86358
9.241575	99.86376
9.241593	99.86388
9.241606	99.86394
9.241658	99.86411
9.24173	99.86428
9.24182	99.86444
9.241927	99.86459
9.24205	99.86472
9.242187	99.86484
9.24233	99.86495
9.242353	99.86497
9.242472	99.86506
9.242614	99.86517
9.242757	99.86529
9.242899	99.8654
9.243045	99.86551
9.243197	99.8656
9.243356	99.86569
9.24352	99.86577
9.243689	99.86583
9.243862	99.86589
9.244038	99.86593
9.244216	99.86596
9.244396	99.86598
9.244577	99.86598
9.244758	99.86599
9.244938	99.86599
9.245119	99.86599
9.2453	99.866
9.245481	99.866
9.245662	99.866
9.245843	99.86601
9.246024	99.86601
9.246204	99.86601
9.246385	99.86601
9.246566	99.86602
9.246747	99.86602
9.246928	99.86602
9.247109	99.86603
9.24729	99.86603
9.24747	99.86603
9.247651	99.86604
9.247832	99.86604
9.248013	99.86604
9.248194	99.86604
9.248375	99.86605
9.248556	99.86605
9.248736	99.86605
9.248917	99.86606
9.249098	99.86606
9.249279	99.86606
9.24946	99.86607
9.249641	99.86607
9.249822	99.86607
9.250002	99.86607
9.250183	99.86608
9.250364	99.86608
9.250545	99.86608
9.250726	99.86609
9.250907	99.86609
9.251088	99.86609
9.251268	99.8661
9.251449	99.8661
9.25163	99.8661
9.251811	99.8661
9.251992	99.86611
9.252173	99.86611
9.252354	99.86611
9.252534	99.86612
9.252715	99.86612
9.252896	99.86612
9.253077	99.86612
9.253258	99.86613
9.253439	99.86613
9.253619	99.86613
9.2538	99.86614
9.253981	99.86614
9.254162	99.86614
9.254343	99.86615
9.254524	99.86615
9.254705	99.86615
9.254885	99.86615
9.255066	99.86616
9.255247	99.86616
9.255428	99.86616
9.255609	99.86617
9.25579	99.86617
9.255971	99.86617
9.256151	99.86618
9.256332	99.86618
9.256513	99.86618
9.256694	99.86618
9.256875	99.86619
9.257056	99.86619
9.257237	99.86619
9.257417	99.8662
9.257598	99.8662
9.257779	99.8662
9.25796	99.86621
9.258141	99.86621
9.258322	99.86621
9.258503	99.86621
9.258683	99.86622
9.258864	99.86622
9.259045	99.86622
9.259226	99.86623
9.259407	99.86623
9.259588	99.86623
9.259769	99.86624
9.259949	99.86624
9.26013	99.86624
9.260311	99.86624
9.260492	99.86625
9.260673	99.86625
9.260854	99.86625
9.261034	99.86626
9.261215	99.86626
9.261396	99.86626
9.261577	99.86627
9.261758	99.86627
9.261939	99.86627
9.26212	99.86627
9.262301	99.86628
9.262481	99.86628
9.262662	99.86628
9.262843	99.86629
9.263024	99.86629
9.263205	99.86629
9.263386	99.8663
9.263566	99.8663
9.263747	99.8663
9.263928	99.8663
9.264109	99.86631
9.26429	99.86631
9.264471	99.86631
9.264652	99.86632
9.264832	99.86632
9.265013	99.86632
9.265194	99.86633
9.265375	99.86633
9.265556	99.86633
9.265737	99.86633
9.265918	99.86634
9.266098	99.86634
9.266279	99.86634
9.26646	99.86635
9.266641	99.86635
9.266822	99.86635
9.267003	99.86636
9.267184	99.86636
9.267364	99.86636
9.267545	99.86636
9.267726	99.86637
9.267907	99.86637
9.268088	99.86637
9.268269	99.86638
9.26845	99.86638
9.26863	99.86638
9.268811	99.86639
9.268992	99.86639
9.269173	99.86639
9.269354	99.86639
9.269535	99.8664
9.269716	99.8664
9.269896	99.8664
9.270077	99.86641
9.270258	99.86641
9.270439	99.86641
9.27062	99.86642
9.270801	99.86642
9.270982	99.86642
9.271162	99.86642
9.271343	99.86643
9.271524	99.86643
9.271705	99.86643
9.271886	99.86644
9.272067	99.86644
9.272247	99.86644
9.272428	99.86645
9.272609	99.86645
9.27279	99.86645
9.272971	99.86645
9.273152	99.86646
9.273333	99.86646
9.273513	99.86646
9.273694	99.86647
9.273875	99.86647
9.274056	99.86647
9.274237	99.86648
9.274418	99.86648
9.274599	99.86648
9.274779	99.86648
9.27496	99.86649
9.275141	99.86649
9.275322	99.86649
9.275503	99.8665
9.275684	99.8665
9.275865	99.8665
9.276045	99.86651
9.276226	99.86651
9.276407	99.86651
9.276588	99.86651
9.276769	99.86652
9.27695	99.86652
9.277131	99.86652
9.277311	99.86653
9.277492	99.86653
9.277673	99.86653
9.277854	99.86654
9.278035	99.86654
9.278216	99.86654
9.278396	99.86654
9.278577	99.86655
9.278758	99.86655
9.278939	99.86655
9.27912	99.86656
9.279301	99.86656
9.279482	99.86656
9.279663	99.86657
9.279843	99.86657
9.280024	99.86657
9.280205	99.86657
9.280386	99.86658
9.280567	99.86658
9.280748	99.86658
9.280929	99.86659
9.281109	99.86659
9.28129	99.86659
9.281471	99.8666
9.281652	99.8666
9.281833	99.8666
9.282014	99.8666
9.282194	99.86661
9.282375	99.86661
9.282556	99.86661
9.282737	99.86662
9.282918	99.86662
9.283099	99.86662
9.28328	99.86663
9.28346	99.86663
9.283641	99.86663
9.283822	99.86663
9.284003	99.86664
9.284184	99.86664
9.284365	99.86664
9.284546	99.86665
9.284726	99.86665
9.284907	99.86665
9.285088	99.86666
9.285269	99.86666
9.28545	99.86666
9.285631	99.86666
9.285812	99.86667
9.285992	99.86667
9.286173	99.86667
9.286354	99.86668
9.286535	99.86668
9.286716	99.86668
9.286897	99.86669
9.287078	99.86669
9.287258	99.86669
9.287439	99.86669
9.28762	99.8667
9.287801	99.8667
9.287982	99.8667
9.288163	99.86671
9.288344	99.86671
9.288524	99.86671
9.288705	99.86672
9.288886	99.86672
9.289067	99.86672
9.289248	99.86672
9.289429	99.86673
9.289609	99.86673
9.28979	99.86673
9.289971	99.86674
9.290152	99.86674
9.290333	99.86674
9.290514	99.86675
9.290695	99.86675
9.290875	99.86675
